country,year,electricity_generation,biofuel_electricity,hydro_electricity,low_carbon_electricity,nuclear_electricity,solar_electricity,wind_electricity,coal_electricity,gas_electricity,oil_electricity,total_electricity,total_clean_electricity,total_dirty_electricity
Albania,2000,4.69,0.0,4.55,4.55,0.0,0.0,0.0,0.0,0.0,0.14,9.24,9.1,0.14
Albania,2001,3.65,0.0,3.52,3.52,0.0,0.0,0.0,0.0,0.0,0.13,7.17,7.04,0.13
Albania,2002,3.64,0.0,3.48,3.48,0.0,0.0,0.0,0.0,0.0,0.16,7.12,6.96,0.16
Albania,2003,5.22,0.0,5.12,5.12,0.0,0.0,0.0,0.0,0.0,0.1,10.34,10.24,0.1
Albania,2004,5.54,0.0,5.41,5.41,0.0,0.0,0.0,0.0,0.0,0.13,10.950000000000001,10.82,0.13
Albania,2005,5.39,0.0,5.32,5.32,0.0,0.0,0.0,0.0,0.0,0.07,10.71,10.64,0.07
Albania,2006,5.04,0.0,4.95,4.95,0.0,0.0,0.0,0.0,0.0,0.09,9.99,9.9,0.09
Albania,2007,2.83,0.0,2.76,2.76,0.0,0.0,0.0,0.0,0.0,0.07,5.59,5.52,0.07
Albania,2008,3.83,0.0,3.76,3.76,0.0,0.0,0.0,0.0,0.0,0.07,7.59,7.52,0.07
Albania,2009,5.2,0.0,5.2,5.2,0.0,0.0,0.0,0.0,0.0,0.0,10.4,10.4,0.0
Albania,2010,7.49,0.0,7.49,7.49,0.0,0.0,0.0,0.0,0.0,0.0,14.98,14.98,0.0
Albania,2011,4.15,0.0,4.09,4.09,0.0,0.0,0.0,0.0,0.0,0.06,8.24,8.18,0.06
Albania,2012,4.68,0.0,4.68,4.68,0.0,0.0,0.0,0.0,0.0,0.0,9.36,9.36,0.0
Albania,2013,6.89,0.0,6.89,6.89,0.0,0.0,0.0,0.0,0.0,0.0,13.78,13.78,0.0
Albania,2014,4.68,0.0,4.68,4.68,0.0,0.0,0.0,0.0,0.0,0.0,9.36,9.36,0.0
Albania,2015,5.84,0.0,5.84,5.84,0.0,0.0,0.0,0.0,0.0,0.0,11.68,11.68,0.0
Albania,2016,7.7,0.0,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,15.4,15.4,0.0
Albania,2017,4.48,0.0,4.48,4.48,0.0,0.0,0.0,0.0,0.0,0.0,8.96,8.96,0.0
Albania,2018,8.47,0.0,8.47,8.47,0.0,0.0,0.0,0.0,0.0,0.0,16.94,16.94,0.0
Albania,2019,5.17,0.0,5.15,5.17,0.0,0.02,0.0,0.0,0.0,0.0,10.34,10.34,0.0
Albania,2020,5.31,0.0,5.28,5.31,0.0,0.03,0.0,0.0,0.0,0.0,10.62,10.62,0.0
Albania,2021,8.96,0.0,8.89,8.96,0.0,0.07,0.0,0.0,0.0,0.0,17.92,17.92,0.0
Armenia,2000,5.62,0.0,1.25,3.09,1.84,0.0,0.0,0.0,2.53,0.0,8.709999999999999,6.18,2.53
Armenia,2001,5.57,0.0,0.96,2.95,1.99,0.0,0.0,0.0,2.62,0.0,8.52,5.9,2.62
Armenia,2002,5.21,0.0,1.64,3.73,2.09,0.0,0.0,0.0,1.48,0.0,8.94,7.46,1.48
Armenia,2003,5.21,0.0,1.96,3.78,1.82,0.0,0.0,0.0,1.43,0.0,8.99,7.5600000000000005,1.43
Armenia,2004,5.9,0.0,1.98,4.18,2.2,0.0,0.0,0.0,1.72,0.0,10.08,8.36,1.72
Armenia,2005,5.97,0.0,1.75,4.25,2.5,0.0,0.0,0.0,1.72,0.0,10.22,8.5,1.72
Armenia,2006,5.62,0.0,1.81,4.23,2.42,0.0,0.0,0.0,1.39,0.0,9.850000000000001,8.46,1.39
Armenia,2007,5.58,0.0,1.83,4.18,2.35,0.0,0.0,0.0,1.4,0.0,9.76,8.36,1.4
Armenia,2008,5.47,0.0,1.78,4.05,2.27,0.0,0.0,0.0,1.42,0.0,9.52,8.1,1.42
Armenia,2009,5.37,0.0,2.0,4.29,2.29,0.0,0.0,0.0,1.08,0.0,9.66,8.58,1.08
