country,year,solar_elec_per_capita,wind_elec_per_capita,hydro_elec_per_capita,coal_elec_per_capita,oil_elec_per_capita,gas_elec_per_capita
Albania,2000,0.0,0.0,1429.906,0.0,43.997,0.0
Albania,2001,0.0,0.0,1116.179,0.0,41.223,0.0
Albania,2002,0.0,0.0,1114.115,0.0,51.224,0.0
Albania,2003,0.0,0.0,1655.354,0.0,32.331,0.0
Albania,2004,0.0,0.0,1766.456,0.0,42.447,0.0
Albania,2005,0.0,0.0,1754.249,0.0,23.082,0.0
Albania,2006,0.0,0.0,1648.137,0.0,29.966,0.0
Albania,2007,0.0,0.0,927.392,0.0,23.521,0.0
Albania,2008,0.0,0.0,1273.847,0.0,23.715,0.0
Albania,2009,0.0,0.0,1774.409,0.0,0.0,0.0
Albania,2010,0.0,0.0,2570.878,0.0,0.0,0.0
Albania,2011,0.0,0.0,1410.024,0.0,20.685,0.0
Albania,2012,0.0,0.0,1618.15,0.0,0.0,0.0
Albania,2013,0.0,0.0,2386.545,0.0,0.0,0.0
Albania,2014,0.0,0.0,1622.69,0.0,0.0,0.0
Albania,2015,0.0,0.0,2026.032,0.0,0.0,0.0
Albania,2016,0.0,0.0,2672.624,0.0,0.0,0.0
Albania,2017,0.0,0.0,1555.901,0.0,0.0,0.0
Albania,2018,0.0,0.0,2944.02,0.0,0.0,0.0
Albania,2019,6.959,0.0,1792.001,0.0,0.0,0.0
Albania,2020,10.464,0.0,1841.743,0.0,0.0,0.0
Armenia,2000,0.0,0.0,394.505,0.0,0.0,798.479
Armenia,2001,0.0,0.0,306.402,0.0,0.0,836.222
Armenia,2002,0.0,0.0,528.174,0.0,0.0,476.644
Armenia,2003,0.0,0.0,635.516,0.0,0.0,463.667
Armenia,2004,0.0,0.0,645.846,0.0,0.0,561.038
Armenia,2005,0.0,0.0,574.288,0.0,0.0,564.443
Armenia,2006,0.0,0.0,598.053,0.0,0.0,459.278
Armenia,2007,0.0,0.0,609.107,0.0,0.0,465.984
Armenia,2008,0.0,0.0,596.63,0.0,0.0,475.963
Armenia,2009,0.0,0.0,674.696,0.0,0.0,364.336
Armenia,2010,0.0,3.394,858.705,0.0,0.0,458.202
Armenia,2011,0.0,0.0,839.882,0.0,0.0,768.184
Armenia,2012,0.0,0.0,789.177,0.0,0.0,1094.554
Armenia,2013,0.0,0.0,741.025,0.0,0.0,1027.095
Armenia,2014,0.0,0.0,681.676,0.0,0.0,1069.227
Armenia,2015,0.0,0.0,757.313,0.0,0.0,913.639
Armenia,2016,0.0,0.0,813.025,0.0,0.0,847.919
Armenia,2017,0.0,0.0,788.94,0.0,0.0,946.728
Armenia,2018,7.051,0.0,807.315,0.0,0.0,1117.55
Armenia,2019,21.272,0.0,833.155,0.0,0.0,1013.967
Armenia,2020,49.9,0.0,634.443,0.0,0.0,1062.158
Austria,2000,0.0,8.739,5223.194,714.069,354.538,979.973
Austria,2001,1.244,12.438,5032.568,857.004,395.54,1088.358
Austria,2002,1.238,17.329,4979.58,818.171,355.242,1152.371
Austria,2003,1.232,45.566,4089.849,1039.395,396.547,1374.366
Austria,2004,2.448,113.814,4498.719,968.032,422.214,1340.07
Austria,2005,2.431,161.662,4509.523,871.517,414.487,1583.803
Austria,2006,2.419,211.665,4313.134,891.413,433.007,1290.553
Austria,2007,2.411,245.94,4466.697,795.687,390.61,1193.53
Austria,2008,3.605,241.554,4606.344,664.573,391.774,1343.567
Austria,2009,5.993,233.731,4902.35,450.681,361.983,1479.095
Austria,2010,10.762,246.328,4586.965,588.318,436.455,1715.927
Austria,2011,20.259,231.195,4080.465,647.106,414.72,1482.505
Austria,2012,40.334,291.827,5201.882,520.781,387.917,1151.888
Austria,2013,74.296,371.482,4955.456,496.489,380.917,784.24
Austria,2014,92.44,450.5,4798.699,344.018,369.761,622.509
Austria,2015,108.766,560.028,4299.721,341.34,422.335,886.326
Austria,2016,125.909,598.639,4575.063,233.503,416.643,971.786
Austria,2017,144.359,746.803,4352.375,200.057,420.574,1240.125
Austria,2018,165.149,682.087,4257.669,204.739,367.625,1122.106
Austria,2019,191.443,838.97,4598.005,168.92,382.885,1274.783
Austria,2020,229.013,762.255,4714.979,62.866,365.972,1117.001
Belarus,2000,0.0,0.0,2.925,0.0,0.0,2389.707
Belarus,2001,0.0,0.0,2.941,0.0,0.0,2306.589
Belarus,2002,0.0,0.0,2.96,0.0,0.0,2450.818
Belarus,2003,0.0,0.0,2.98,0.0,0.0,2483.637
Belarus,2004,0.0,0.0,3.0,0.0,0.0,2931.084
Belarus,2005,0.0,0.0,4.026,0.0,0.0,2925.97
Belarus,2006,0.0,0.0,4.051,0.0,0.0,3016.801
Belarus,2007,0.0,0.0,4.071,0.0,0.0,3033.791
Belarus,2008,0.0,0.0,4.087,0.0,0.0,3350.079
Belarus,2009,0.0,0.0,4.099,0.0,0.0,2908.469
