country,year,energy_per_capita,energy_per_gdp,population,primary_energy_consumption,Year,Country,GDP_per_capita,gdp
Albania,2000,9029.438,3.029045861735089e-09,3182027.0,28.732,2000,Albania,2980.96,9485495205.92
Albania,2001,8635.532,2.6349232227906205e-09,3153615.0,27.233,2001,Albania,3277.32,10335405511.800001
Albania,2002,9443.555,2.715511837115275e-09,3123554.0,29.497,2002,Albania,3477.58,10862408919.32
Albania,2003,10756.612,2.8891438279147944e-09,3092993.0,33.27,2003,Albania,3723.1,11515522238.3
Albania,2004,11586.951,2.9110400360636523e-09,3062629.0,35.487,2004,Albania,3980.4,12190488471.6
Albania,2005,11545.616,2.7153903546799424e-09,3032636.0,35.014,2005,Albania,4251.96,12894646966.56
Albania,2006,10976.728,2.409715791673052e-09,3003391.0,32.967,2006,Albania,4555.14,13680866479.740002
Albania,2007,9534.874,1.9551268229253916e-09,2976089.0,28.377,2007,Albania,4876.92,14514147965.880001
Albania,2008,10499.328,1.9871544642057623e-09,2951690.0,30.991,2008,Albania,5283.64,15595667351.6
Albania,2009,11524.428,2.0981844722719133e-09,2930553.0,33.773,2009,Albania,5492.58,16096296796.74
Albania,2010,12377.504,2.164579064618333e-09,2913402.0,36.061,2010,Albania,5718.26,16659590120.52
Albania,2011,10854.649,1.8460243709533813e-09,2900660.0,31.486,2011,Albania,5880.08,17056112852.8
Albania,2012,10652.809,1.7834724150881677e-09,2892191.0,30.81,2012,Albania,5973.08,17275288218.28
Albania,2013,13392.774,2.2157288504019562e-09,2887019.0,38.665,2013,Albania,6044.38,17450239903.22
Albania,2014,11809.461,1.9158825452723313e-09,2884100.0,34.06,2014,Albania,6164.04,17777707764.0
Albania,2015,11824.314,1.871015980575664e-09,2882482.0,34.083,2015,Albania,6319.66,18216306196.12
Albania,2016,13823.748,2.1139954719909462e-09,2881064.0,39.827,2016,Albania,6539.14,18839680844.96
Albania,2017,12802.36,1.8843933922168498e-09,2879361.0,36.863,2017,Albania,6793.96,19562263459.56
Albania,2018,14609.701,2.062117503278942e-09,2877019.0,42.032,2018,Albania,7084.74,20382931590.059998
Albania,2019,11585.555,1.5951039740724956e-09,2873883.0,33.296,2019,Albania,7263.3,20873874393.9
Albania,2020,11158.003,1.5823967723649817e-09,2866850.0,31.988,2020,Albania,7051.26,20214904731.0
Armenia,2000,9270.454,2.90904971923585e-09,3168525.0,29.374,2000,Armenia,3186.8,10097455470.0
Armenia,2001,9219.866,2.7245682831002465e-09,3133138.0,28.887,2001,Armenia,3383.96,10602413666.48
Armenia,2002,8911.608,2.3633037810548623e-09,3105040.0,27.671,2002,Armenia,3770.84,11708609033.6
Armenia,2003,9866.072,2.3599300010494156e-09,3084107.0,30.428,2003,Armenia,4180.66,12893602770.619999
Armenia,2004,10294.192,2.2964489367312652e-09,3065748.0,31.559,2004,Armenia,4482.6,13742521984.800001
Armenia,2005,11997.367,2.4167077463771157e-09,3047254.0,36.559,2005,Armenia,4964.34,15127604922.36
Armenia,2006,12061.231,2.2108756064453545e-09,3026490.0,36.503,2006,Armenia,5455.38,16510653016.2
Armenia,2007,13633.888,2.264011407661141e-09,3004398.0,40.962,2007,Armenia,6022.06,18092665019.88
Armenia,2008,13250.285,2.1199585607966022e-09,2983425.0,39.531,2008,Armenia,6250.22,18647062603.5
Armenia,2009,11915.396,2.28818727428811e-09,2964300.0,35.321,2009,Armenia,5207.38,15436236534.0
Armenia,2010,13351.512,2.5849198161043443e-09,2946296.0,39.338,2010,Armenia,5165.22,15218267025.12
Armenia,2011,14139.787,2.6941515045949237e-09,2928984.0,41.415,2011,Armenia,5248.3,15372186727.2
Armenia,2012,15057.879,2.6759413793058512e-09,2914428.0,43.885,2012,Armenia,5627.12,16399836087.36
Armenia,2013,14838.981,2.5475312577131856e-09,2901386.0,43.054,2013,Armenia,5824.9,16900283311.4
Armenia,2014,15185.13,2.513299808224183e-09,2889937.0,43.884,2014,Armenia,6041.9,17460710360.3
Armenia,2015,14124.947,2.2610309471812587e-09,2878598.0,40.66,2015,Armenia,6247.12,17982947137.76
Armenia,2016,14289.046,2.2789254464912023e-09,2865841.0,40.95,2016,Armenia,6270.06,17968995020.460003
Armenia,2017,15302.439,2.2653591252805187e-09,2851929.0,43.641,2017,Armenia,6754.9,19264495202.1
Armenia,2018,15133.982,2.1244010307400322e-09,2836563.0,42.928,2018,Armenia,7123.8,20207107499.4
Armenia,2019,16179.096,2.10463887437633e-09,2820604.0,45.635,2019,Armenia,7687.38,21683054777.52
Armenia,2020,17086.047,2.3868235156484425e-09,2805610.0,47.937,2020,Armenia,7158.5199999999995,20084015297.199997
Austria,2000,48863.281,2.2649676538476757e-09,8010425.0,391.416,2000,Austria,21573.52,172813063946.0
Austria,2001,50421.105,2.3056341251169374e-09,8039633.0,405.367,2001,Austria,21868.64,175815839809.12
Austria,2002,50254.641,2.2626140000565253e-09,8078994.0,406.007,2002,Austria,22210.88,179441566254.72
Austria,2003,50523.203,2.2596315904102864e-09,8120105.0,410.254,2003,Austria,22359.06,181557914901.30002
Austria,2004,51139.312,2.231855925744107e-09,8171215.0,417.87,2004,Austria,22913.34,187229827508.1
Austria,2005,51714.719,2.2158405497000244e-09,8227034.0,425.459,2005,Austria,23338.66,192007949334.44
Austria,2006,50921.684,2.1131495372384016e-09,8267771.0,421.009,2006,Austria,24097.54,199232942383.34
Austria,2007,49669.195,1.9876340942874156e-09,8294720.0,411.992,2007,Austria,24989.1,207277587552.0
Austria,2008,50475.008,1.987336605993897e-09,8321134.0,420.009,2008,Austria,25398.3,211342657672.19998
Austria,2009,48765.184,1.993045084027165e-09,8342939.0,406.845,2009,Austria,24467.68,204132361711.52
Austria,2010,50240.961,2.0113654646032765e-09,8362829.0,420.157,2010,Austria,24978.56,208891425946.24002
Austria,2011,47200.484,1.836844598683083e-09,8391201.0,396.069,2011,Austria,25696.52,215624664320.52
Austria,2012,49174.594,1.9092902926570666e-09,8429641.0,414.524,2012,Austria,25755.42,217108944404.21997
Austria,2013,48493.574,1.8937432897847888e-09,8479542.0,411.203,2013,Austria,25607.24,217137667084.08002
Austria,2014,46196.465,1.8062694258542263e-09,8546066.0,394.798,2014,Austria,25575.62,218570936510.91998
