country,iso_code,year,population,gdp,greenhouse_gas_emissions,primary_energy_consumption,energy_per_gdp,GDP_per_capita
Albania,ALB,2000,3182027.0,9485495205.92,0.21,28.732,3.029045861735089e-09,2980.96
Albania,ALB,2001,3153615.0,10335405511.800001,0.17,27.233,2.6349232227906205e-09,3277.32
Albania,ALB,2002,3123554.0,10862408919.32,0.19,29.497,2.715511837115275e-09,3477.58
Albania,ALB,2003,3092993.0,11515522238.3,0.19,33.27,2.8891438279147944e-09,3723.1
Albania,ALB,2004,3062629.0,12190488471.6,0.22,35.487,2.9110400360636523e-09,3980.4
Albania,ALB,2005,3032636.0,12894646966.56,0.18,35.014,2.7153903546799424e-09,4251.96
Albania,ALB,2006,3003391.0,13680866479.740002,0.18,32.967,2.409715791673052e-09,4555.14
Albania,ALB,2007,2976089.0,14514147965.880001,0.12,28.377,1.9551268229253916e-09,4876.92
Albania,ALB,2008,2951690.0,15595667351.6,0.14,30.991,1.9871544642057623e-09,5283.64
Albania,ALB,2009,2930553.0,16096296796.74,0.12,33.773,2.0981844722719133e-09,5492.58
Albania,ALB,2010,2913402.0,16659590120.52,0.18,36.061,2.164579064618333e-09,5718.26
Albania,ALB,2011,2900660.0,17056112852.8,0.14,31.486,1.8460243709533813e-09,5880.08
Albania,ALB,2012,2892191.0,17275288218.28,0.11,30.81,1.7834724150881677e-09,5973.08
Albania,ALB,2013,2887019.0,17450239903.22,0.17,38.665,2.2157288504019562e-09,6044.38
Albania,ALB,2014,2884100.0,17777707764.0,0.11,34.06,1.9158825452723313e-09,6164.04
Albania,ALB,2015,2882482.0,18216306196.12,0.14,34.083,1.871015980575664e-09,6319.66
Albania,ALB,2016,2881064.0,18839680844.96,0.18,39.827,2.1139954719909462e-09,6539.14
Albania,ALB,2017,2879361.0,19562263459.56,0.11,36.863,1.8843933922168498e-09,6793.96
Albania,ALB,2018,2877019.0,20382931590.059998,0.2,42.032,2.062117503278942e-09,7084.74
Albania,ALB,2019,2873883.0,20873874393.9,0.12,33.296,1.5951039740724956e-09,7263.3
Albania,ALB,2020,2866850.0,20214904731.0,0.13,31.988,1.5823967723649817e-09,7051.26
Armenia,ARM,2000,3168525.0,10097455470.0,1.29,29.374,2.90904971923585e-09,3186.8
Armenia,ARM,2001,3133138.0,10602413666.48,1.32,28.887,2.7245682831002465e-09,3383.96
Armenia,ARM,2002,3105040.0,11708609033.6,0.8,27.671,2.3633037810548623e-09,3770.84
Armenia,ARM,2003,3084107.0,12893602770.619999,0.77,30.428,2.3599300010494156e-09,4180.66
Armenia,ARM,2004,3065748.0,13742521984.800001,0.92,31.559,2.2964489367312652e-09,4482.6
Armenia,ARM,2005,3047254.0,15127604922.36,0.91,36.559,2.4167077463771157e-09,4964.34
